Date,Description,Debit,Credit,Balance
2025-01-01,Packaging supplies,702,,49298.0
2025-01-02,Payment from GREEN MARKET SDN BHD for food supplies,,3206,52504.0
2025-01-03,Payment from DAILY DRINKS TRADING for food supplies,,2343,54847.0
2025-01-04,Packaging supplies,3371,,51476.0
2025-01-05,Payment from URBAN EATERY SDN BHD for food supplies,,1912,53388.0
2025-01-06,Payment from HEALTHY HARVEST TRADING for food supplies,,4656,58044.0
2025-01-07,Raw material purchase,722,,57322.0
2025-01-08,Payment from SUNRISE BAKERY SDN BHD for food supplies,,2991,60313.0
2025-01-09,Payment from DAILY DRINKS TRADING for food supplies,,5339,65652.0
2025-01-10,Raw material purchase,2898,,62754.0
2025-01-11,Payment from DAILY DRINKS TRADING for food supplies,,7065,69819.0
2025-01-12,Payment from LOCAL PRODUCE SDN BHD for food supplies,,6945,76764.0
2025-01-13,Cleaning service,1502,,75262.0
2025-01-14,Payment from TASTE BUDS ENTERPRISE for food supplies,,6027,81289.0
2025-01-15,Payment from GREEN MARKET SDN BHD for food supplies,,7830,89119.0
2025-01-16,Raw material purchase,1253,,87866.0
2025-01-17,Payment from FOOD SUPPLY HOLDINGS for food supplies,,3987,91853.0
2025-01-18,Payment from GREEN MARKET SDN BHD for food supplies,,2473,94326.0
2025-01-19,Delivery service,1978,,92348.0
2025-01-20,Payment from SUNRISE BAKERY SDN BHD for food supplies,,1959,94307.0
2025-01-21,Payment from FOOD SUPPLY HOLDINGS for food supplies,,1992,96299.0
2025-01-22,Cold storage rental,2008,,94291.0
2025-01-23,Payment from HEALTHY HARVEST TRADING for food supplies,,3366,97657.0
2025-01-24,Payment from HAPPY GROCER SDN BHD for food supplies,,7177,104834.0
2025-01-25,Staff meal supplies,2796,,102038.0
2025-01-26,Payment from SUNRISE BAKERY SDN BHD for food supplies,,4300,106338.0
2025-01-27,Payment from SUNRISE BAKERY SDN BHD for food supplies,,5722,112060.0
2025-01-28,Kitchen equipment servicing,3174,,108886.0
2025-01-29,Payment from HEALTHY HARVEST TRADING for food supplies,,4162,113048.0
2025-01-30,Payment from HEALTHY HARVEST TRADING for food supplies,,2775,115823.0
